show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_int
61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Junko Takeuchi,Japan,2021-09-15,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",85
62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Junko Takeuchi,Japan,2021-09-15,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",97
63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Junko Takeuchi,Japan,2021-09-15,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",95
64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Junko Takeuchi,Japan,2021-09-15,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",83
74,Movie,King of Boys,Kemi Adetiba,Sola Sobowale,Nigeria,2021-09-14,2018,TV-MA,182 min,"Dramas, International Movies","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",182
82,Movie,Kate,Cedric Nicolas-Troyan,Mary Elizabeth Winstead,United States,2021-09-10,2021,R,106 min,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",106
85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Funke Akindele,Nigeria,2021-09-10,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",147
91,Movie,Paradise Hills,Alice Waddington,Emma Roberts,"Spain, United States",2021-09-09,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers","Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.",95
92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",Unknown,France,2021-09-09,2021,TV-14,92 min,"Documentaries, International Movies",This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,92
95,Movie,Show Dogs,Raja Gosnell,Will Arnett,"United Kingdom, United States",2021-09-08,2018,PG,90 min,"Children & Family Movies, Comedies",A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,90
97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,Ronnie Van Zandt,United States,2021-09-07,2018,TV-MA,97 min,"Documentaries, Music & Musicals","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",97
102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",Unknown,United States,2021-09-07,2021,TV-MA,80 min,"Documentaries, Sports Movies","Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",80
106,Movie,Angamaly Diaries,Lijo Jose Pellissery,Antony Varghese,India,2021-09-05,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas","After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",128
108,Movie,A Champion Heart,David de Vos,Mandy Grace,United States,2021-09-04,2018,G,90 min,"Children & Family Movies, Dramas","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",90
115,Movie,Anjaam,Rahul Rawail,Madhuri Dixit,India,2021-09-02,1994,TV-14,143 min,"Dramas, International Movies, Thrillers","A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",143
116,Movie,Bright Star,Jane Campion,Abbie Cornish,"United Kingdom, Australia, France",2021-09-02,2009,PG,119 min,"Dramas, Romantic Movies",This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.,119
117,Movie,Dhanak,Nagesh Kukunoor,Krrish Chhabria,India,2021-09-02,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,114
118,Movie,Final Account,Luke Holland,Unknown,"United Kingdom, United States",2021-09-02,2021,PG-13,94 min,Documentaries,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.,94
119,Movie,Gurgaon,Shanker Raman,Akshay Oberoi,India,2021-09-02,2017,TV-14,106 min,"Dramas, International Movies, Thrillers","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.",106
123,Movie,In the Cut,Jane Campion,Meg Ryan,"United Kingdom, Australia, France, United States",2021-09-02,2003,R,118 min,Thrillers,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",118
127,Movie,Shikara,Vidhu Vinod Chopra,Aadil Khan,India,2021-09-02,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies",A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,115
128,Movie,A Cinderella Story,Mark Rosman,Hilary Duff,"United States, Canada",2021-09-01,2004,PG,95 min,"Children & Family Movies, Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,95
130,Movie,An Unfinished Life,Lasse Hallström,Robert Redford,"Germany, United States",2021-09-01,2005,PG-13,108 min,Dramas,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",108
132,Movie,Blade Runner: The Final Cut,Ridley Scott,Harrison Ford,United States,2021-09-01,1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies","In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",117
134,Movie,Chappie,Neill Blomkamp,Sharlto Copley,"South Africa, United States",2021-09-01,2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",121
135,Movie,Clear and Present Danger,Phillip Noyce,Harrison Ford,"United States, Mexico",2021-09-01,1994,PG-13,142 min,"Action & Adventure, Dramas","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",142
136,Movie,Cliffhanger,Renny Harlin,Sylvester Stallone,"United States, Italy, France, Japan",2021-09-01,1993,R,113 min,Action & Adventure,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",113
137,Movie,Cold Mountain,Anthony Minghella,Jude Law,"United States, Italy, Romania, United Kingdom",2021-09-01,2003,R,154 min,"Dramas, Romantic Movies","This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.",154
138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,Paul Hogan,"Australia, United States",2021-09-01,2001,PG,95 min,"Action & Adventure, Comedies","When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.",95
139,Movie,Dear John,Lasse Hallström,Channing Tatum,United States,2021-09-01,2010,PG-13,108 min,"Dramas, Romantic Movies","While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.",108
140,Movie,Do the Right Thing,Spike Lee,Danny Aiello,United States,2021-09-01,1989,R,120 min,"Classic Movies, Comedies, Dramas","On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.",120
141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,Joaquín Furriel,"Argentina, Venezuela",2021-09-01,2014,TV-MA,100 min,"Dramas, International Movies, Thrillers",A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.,100
142,Movie,Extraction,Steven C. Miller,Bruce Willis,"United States, United Kingdom, Canada",2021-09-01,2015,R,82 min,Action & Adventure,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",82
143,Movie,Freedom Writers,Richard LaGravenese,Hilary Swank,"Germany, United States",2021-09-01,2007,PG-13,124 min,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives.",124
144,Movie,Green Lantern,Martin Campbell,Ryan Reynolds,United States,2021-09-01,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,114
145,Movie,House Party,Reginald Hudlin,Christopher Reid,United States,2021-09-01,1990,R,104 min,"Comedies, Cult Movies","Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.",104
146,Movie,House Party 2,"George Jackson, Doug McHenry",Christopher Reid,United States,2021-09-01,1991,R,94 min,"Comedies, Cult Movies, Music & Musicals","Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.",94
147,Movie,House Party 3,Eric Meza,Christopher Reid,United States,2021-09-01,1994,R,94 min,"Comedies, Music & Musicals","After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications.",94
150,Movie,I Got the Hook Up,Michael Martin,Master P,United States,2021-09-01,1998,R,93 min,"Action & Adventure, Comedies","After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.",93
151,Movie,In Too Deep,Michael Rymer,Omar Epps,United States,2021-09-01,1999,R,97 min,Thrillers,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",97
152,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak",Jay Chou,"China, Hong Kong",2021-09-01,2005,TV-14,109 min,"Action & Adventure, International Movies","By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel.",109
153,Movie,Janoskians: Untold and Untrue,Brett Weiner,Jai Brooks,United States,2021-09-01,2016,TV-MA,88 min,Comedies,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.,88
156,Movie,Labyrinth,Jim Henson,David Bowie,"United Kingdom, United States",2021-09-01,1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies","In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.",101
157,Movie,Letters to Juliet,Gary Winick,Amanda Seyfried,United States,2021-09-01,2010,PG,105 min,"Comedies, Dramas, Romantic Movies","By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.",105
158,Movie,Level 16,Danishka Esterhazy,Katie Douglas,Canada,2021-09-01,2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers","In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape.",102
159,Movie,Love Don't Cost a Thing,Troy Byer,Nick Cannon,United States,2021-09-01,2003,PG-13,101 min,"Comedies, Romantic Movies",A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.,101
160,Movie,Love in a Puff,Pang Ho-cheung,Miriam Chin Wah Yeung,Hong Kong,2021-09-01,2010,TV-MA,103 min,"Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.",103
162,Movie,Mars Attacks!,Tim Burton,Jack Nicholson,United States,2021-09-01,1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy","As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace.",106
163,Movie,Marshall,Reginald Hudlin,Chadwick Boseman,"United States, China, Hong Kong",2021-09-01,2017,PG-13,118 min,Dramas,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",118
164,Movie,My Boss's Daughter,David Zucker,Ashton Kutcher,United States,2021-09-01,2003,R,86 min,"Comedies, Romantic Movies","A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush.",86
165,Movie,Mystery Men,Kinka Usher,Ben Stiller,United States,2021-09-01,1999,PG-13,121 min,"Action & Adventure, Comedies",A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.,121
167,Movie,Once Upon a Time in America,Sergio Leone,Robert De Niro,"Italy, United States",2021-09-01,1984,R,229 min,"Classic Movies, Dramas",Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,229
168,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman",Joel McHale,"United States, Canada",2021-09-01,2008,PG,76 min,"Children & Family Movies, Comedies",Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.,76
169,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly",Chris Rock,United States,2021-09-01,2001,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies",Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.,95
170,Movie,Poseidon,Wolfgang Petersen,Josh Lucas,United States,2021-09-01,2006,PG-13,98 min,"Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.",98
171,Movie,Rhyme & Reason,Peter Spirer,Too $hort,United States,2021-09-01,1997,R,89 min,"Documentaries, Music & Musicals","The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts.",89
172,Movie,Same Kind of Different as Me,Michael Carney,Greg Kinnear,United States,2021-09-01,2017,PG-13,120 min,"Dramas, Faith & Spirituality",A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.,120
173,Movie,School of Rock,Richard Linklater,Jack Black,"United States, Germany",2021-09-01,2003,PG-13,110 min,"Comedies, Music & Musicals","Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll.",110
174,Movie,Snervous Tyler Oakley,Amy Rice,Tyler Oakley,United States,2021-09-01,2015,PG-13,83 min,"Documentaries, LGBTQ Movies","The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour.",83
175,Movie,Tears of the Sun,Antoine Fuqua,Bruce Willis,United States,2021-09-01,2003,R,121 min,"Action & Adventure, Dramas","A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.",121
176,Movie,The Blue Lagoon,Randal Kleiser,Brooke Shields,United States,2021-09-01,1980,R,105 min,"Dramas, Romantic Movies","Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.",105
177,Movie,The Golden Child,Michael Ritchie,Eddie Murphy,United States,2021-09-01,1986,PG-13,94 min,"Action & Adventure, Comedies",A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.,94
178,Movie,The Guns of Navarone,J. Lee Thompson,Gregory Peck,"United Kingdom, United States",2021-09-01,1961,TV-14,156 min,"Action & Adventure, Classic Movies","During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.",156
179,Movie,The Interview,"Evan Goldberg, Seth Rogen",James Franco,United States,2021-09-01,2014,R,112 min,"Action & Adventure, Comedies",Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.,112
180,Movie,The Nutty Professor,Tom Shadyac,Eddie Murphy,United States,2021-09-01,1996,PG-13,95 min,"Comedies, Romantic Movies","After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance.",95
183,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,Martin Lawrence,United States,2021-09-01,2008,PG-13,114 min,Comedies,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become.",114
184,Movie,In the Line of Fire,Wolfgang Petersen,Clint Eastwood,United States,2021-08-31,1993,R,129 min,"Action & Adventure, Classic Movies",A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.,129
189,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",Ramzy Bedia,France,2021-08-28,2008,TV-MA,97 min,"Comedies, International Movies","A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.",97
191,Movie,Thimmarusu,Sharan Koppisetty,Satya Dev,India,2021-08-28,2021,TV-14,125 min,"Dramas, International Movies","Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit.",125
192,Movie,Wind River,Taylor Sheridan,Jeremy Renner,"United Kingdom, Canada, United States",2021-08-28,2017,R,107 min,"Dramas, Independent Movies",A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.,107
193,Movie,C Kkompany,Sachin Yardi,Mithun Chakraborty,India,2021-08-27,2008,TV-14,127 min,"Action & Adventure, Comedies, International Movies","Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous.",127
196,Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,Sanjay Dutt,India,2021-08-27,2008,TV-14,128 min,"Comedies, Dramas, International Movies",A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.,128
199,TV Show,King of Boys: The Return of the King,Kemi Adetiba,Sola Sobowale,Nigeria,2021-08-27,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness.",1
200,Movie,Koi Aap Sa,Partho Mitra,Aftab Shivdasani,India,2021-08-27,2006,TV-14,135 min,"Comedies, Dramas, International Movies","Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her.",135
201,Movie,Krishna Cottage,Santram Varma,Sohail Khan,India,2021-08-27,2004,TV-14,124 min,"Action & Adventure, Horror Movies, International Movies",True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.,124
202,Movie,Kucch To Hai,"Anil V. Kumar, Anurag Basu",Tusshar Kapoor,India,2021-08-27,2003,TV-14,136 min,"Dramas, International Movies, Thrillers","A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge.",136
203,Movie,Kyaa Kool Hai Hum,Sangeeth Sivan,Tusshar Kapoor,India,2021-08-27,2005,TV-MA,165 min,"Comedies, International Movies, Music & Musicals","Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck.",165
204,Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,Tusshar Kapoor,India,2021-08-27,2016,TV-MA,124 min,"Comedies, International Movies","When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father.",124
205,Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,Tusshar Kapoor,India,2021-08-27,2012,TV-MA,136 min,"Comedies, International Movies",An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.,136
206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,Govinda,India,2021-08-27,2001,TV-14,150 min,"Comedies, International Movies, Sci-Fi & Fantasy",The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.,150
207,Movie,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,Nushrat Bharucha,India,2021-08-27,2010,TV-MA,112 min,"Dramas, Independent Movies, International Movies",This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.,112
208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,Vivek Oberoi,India,2021-08-27,2008,TV-14,119 min,"Action & Adventure, International Movies, Music & Musicals",A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.,119
209,Movie,Once Upon a Time in Mumbaai,Milan Luthria,Ajay Devgn,India,2021-08-27,2010,TV-14,133 min,"Dramas, International Movies, Music & Musicals","Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime.",133
210,Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,Akshay Kumar,India,2021-08-27,2013,TV-14,142 min,"Dramas, International Movies, Music & Musicals","This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control.",142
211,Movie,Ragini MMS,Pawan Kripalani,Kainaz Motivala,India,2021-08-27,2011,TV-MA,93 min,"Horror Movies, International Movies",A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.,93
212,Movie,Ragini MMS 2,Bhushan Patel,Sunny Leone,India,2021-08-27,2014,TV-MA,113 min,"Horror Movies, International Movies",The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.,113
